Route ID;Step ID;Town A;Town B;Distance;Driver name
1;1;PORT ST LOUIS DU RHONE;FOS SUR MER;9.112;Nadezhda SMIRNOVA
1;2;FOS SUR MER;ARLES;22.03;Nadezhda SMIRNOVA
1;3;ARLES;FOURQUES;20.46;Nadezhda SMIRNOVA
1;4;FOURQUES;MILHAUD;21.15;Nadezhda SMIRNOVA
1;5;MILHAUD;ARPAILLARGUES ET AUREILLAC;23.827;Nadezhda SMIRNOVA
1;6;ARPAILLARGUES ET AUREILLAC;AUBUSSARGUES;3.275;Nadezhda SMIRNOVA
1;7;AUBUSSARGUES;SERVIERS ET LABAUME;3.431;Nadezhda SMIRNOVA
1;8;SERVIERS ET LABAUME;BOUQUET;13.523;Nadezhda SMIRNOVA
1;9;BOUQUET;GRAVIERES;34.559;Nadezhda SMIRNOVA
1;10;GRAVIERES;BERTHOLENE;102.548;Nadezhda SMIRNOVA
1;11;BERTHOLENE;ALMAYRAC;59.858;Nadezhda SMIRNOVA
1;12;ALMAYRAC;AUSSILLON;69.241;Nadezhda SMIRNOVA
2;1;CHARLIEU;ST VALLERIN;69.047;Lyubov FERRARI
2;2;ST VALLERIN;SANTILLY;7.584;Lyubov FERRARI
2;3;SANTILLY;BISSY SOUS UXELLES;6.063;Lyubov FERRARI
2;4;BISSY SOUS UXELLES;BOYER;13.919;Lyubov FERRARI
2;5;BOYER;TAXENNE;91.282;Lyubov FERRARI
2;6;TAXENNE;LANTENNE VERTIERE;6.655;Lyubov FERRARI
2;7;LANTENNE VERTIERE;AUTOREILLE;16.026;Lyubov FERRARI
2;8;AUTOREILLE;BRAILLANS;20.748;Lyubov FERRARI
2;9;BRAILLANS;CUSSEY SUR LISON;29.489;Lyubov FERRARI
2;10;CUSSEY SUR LISON;AMANCEY;9.678;Lyubov FERRARI
2;11;AMANCEY;CHATEAUVIEUX LES FOSSES;9.879;Lyubov FERRARI
2;12;CHATEAUVIEUX LES FOSSES;GRANGES NARBOZ;21.819;Lyubov FERRARI
2;13;GRANGES NARBOZ;BELLEFOND;110.293;Lyubov FERRARI
2;14;BELLEFOND;POISEUL LA GRANGE;29.987;Lyubov FERRARI
2;15;POISEUL LA GRANGE;BELAN SUR OURCE;43.248;Lyubov FERRARI
2;16;BELAN SUR OURCE;VIGNORY;49.251;Lyubov FERRARI
2;17;VIGNORY;FRONVILLE;14.295;Lyubov FERRARI
2;18;FRONVILLE;REGNEVILLE SUR MEUSE;95.732;Lyubov FERRARI
2;19;REGNEVILLE SUR MEUSE;HAVANGE;51.939;Lyubov FERRARI
2;20;HAVANGE;VOELFLING LES BOUZONVILLE;45.139;Lyubov FERRARI
3;1;ECRETTEVILLE SUR MER;ANGERVILLE LA MARTEL;2.826;Anastasiya TORRES
3;2;ANGERVILLE LA MARTEL;YPREVILLE BIVILLE;8.511;Anastasiya TORRES
3;3;YPREVILLE BIVILLE;THIOUVILLE;6.963;Anastasiya TORRES
3;4;THIOUVILLE;CLIPONVILLE;2.703;Anastasiya TORRES
3;5;CLIPONVILLE;ROBERTOT;5.4;Anastasiya TORRES
3;6;ROBERTOT;ANGLESQUEVILLE LA BRAS LONG;9.441;Anastasiya TORRES
3;7;ANGLESQUEVILLE LA BRAS LONG;ERMENOUVILLE;2.821;Anastasiya TORRES
3;8;ERMENOUVILLE;BOURVILLE;3.012;Anastasiya TORRES
3;9;BOURVILLE;HOUDETOT;2.676;Anastasiya TORRES
3;10;HOUDETOT;ANGIENS;1.997;Anastasiya TORRES
3;11;ANGIENS;ST PIERRE LE VIGER;3.736;Anastasiya TORRES
3;12;ST PIERRE LE VIGER;LA GAILLARDE;1.612;Anastasiya TORRES
3;13;LA GAILLARDE;AVREMESNIL;5.137;Anastasiya TORRES
3;14;AVREMESNIL;LONGUEIL;3.812;Anastasiya TORRES
3;15;LONGUEIL;OUVILLE LA RIVIERE;2.727;Anastasiya TORRES
3;16;OUVILLE LA RIVIERE;HAUTOT SUR MER;5.219;Anastasiya TORRES
4;1;LES CONTAMINES MONTJOIE;BEAUFORT SUR DORON;15.152;Robert ALONSO
4;2;BEAUFORT SUR DORON;LE BOUCHET MONT CHARVIN;21.562;Robert ALONSO
